date,product_id,quantity,unit_price,total
2025-12-04,PROD001,10,50.0,500.0
2025-12-04,PROD002,11,60.0,660.0
2025-12-04,PROD003,12,70.0,840.0
2025-12-04,PROD004,13,80.0,1040.0
2025-12-04,PROD005,14,90.0,1260.0
2025-12-04,PROD006,15,100.0,1500.0
2025-12-04,PROD007,16,110.0,1760.0
2025-12-04,PROD008,17,120.0,2040.0
2025-12-04,PROD009,18,130.0,2340.0
2025-12-04,PROD010,19,140.0,2660.0
2025-12-04,PROD011,20,150.0,3000.0
2025-12-04,PROD012,21,160.0,3360.0
2025-12-04,PROD013,22,170.0,3740.0
2025-12-04,PROD014,23,180.0,4140.0
2025-12-04,PROD015,24,190.0,4560.0
